"district" "year86" "year90" "Region" "lnpd86" "lnpd90"
"Islands" 290 293 "NT" 5.66988092298052 5.68017260901707
"Sai_Kung" 365 1026 "NT" 5.89989735358249 6.93342302573071
"Tai_Po" 1033 1496 "NT" 6.94022246911964 7.31055015853442
"North" 1074 1211 "NT" 6.97914527506881 7.09920174355309
"Yuen_Long" 1545 1664 "NT" 7.34277918933185 7.41697962138115
"Tuen_Mun" 3611 4711 "NT" 8.19174002127746 8.45765547870004
"Tsuen_Wan" 4159 4581 "NT" 8.33302993974291 8.42967259388674
"Sha_Tin" 5402 7378 "NT" 8.59452453435256 8.90625787815662
"Southern" 6380 6701 "HK" 8.76092337633884 8.81001204797317
"Wan_Chai" 20182 18209 "HK" 9.91254639702447 9.80967125633184
"Central/West" 20854 20479 "HK" 9.94530105534954 9.92715524983631
"Kwai_Tsing" 21464 21158 "KL" 9.97413239210546 9.95977336354672
"Eastern" 27387 30316 "KL" 10.2178237272332 10.3194309049319
"Yau_Tsim" 45355 33232 "KL" 10.722275703049 10.4112685461159
"Wong_Tai_Sin" 46940 41331 "KL" 10.756625469405 10.6293681027127
"Kowloon_City" 47156 41759 "KL" 10.761216533412 10.6396702759096
"Sham_Shui_Po" 56875 48822 "KL" 10.9486111562533 10.7959363099247
"Kwun_Tong" 60826 52562 "KL" 11.0157726081249 10.8697487041849
"Mong_Kok" 142718 116531 "KL" 11.8686259342627 11.6659126110117
